Name,GrammyAward, DB Row , Peak_chart , Week_chart ,Genre
Flap Your Wings,0," 5,204 ", 52 , 11 ,Hip-Hop
Feels Like Today,0," 5,205 ", 56 , 13 ,Country
Accidentally In Love,0," 5,206 ", 39 , 20 ,Screen
Take Me Out,0," 5,207 ", 66 , 19 ,Post-Punk Revival
Let's Get Away,0," 5,208 ", 35 , 18 ,Rap
I Like That,0," 5,209 ", 11 , 20 ,Pop
Too Much Of A Good Thing,0," 5,210 ", 46 , 13 ,Country
Move Ya Body,0," 5,211 ", 4 , 26 ,Dancehall
Leave,0," 5,212 ", 12 , 29 ,R&;B
I Go Back,0," 5,214 ", 32 , 20 ,Country
Confessions Part II,0," 5,215 ", 1 , 25 ,Neo Soul
U Should've Known Better,0," 5,216 ", 19 , 20 ,Soul
Girls Lie Too,0," 5,217 ", 36 , 15 ,Country
So Sexy,0," 5,218 ", 25 , 17 ,Rap
Feelin' Way Too Damn Good,0," 5,219 ", 48 , 16 ,Rock
Whiskey Lullaby,0," 5,220 ", 41 , 18 ,Country
Meant To Live,0," 5,221 ", 18 , 28 ,Christian Rock
Car Wash,0," 5,222 ", 63 , 5 ,Cover
Still In Love,0," 5,223 ", 70 , 20 ,Pop
Away From The Sun,0," 5,224 ", 62 , 15 ,Rock
Float On,0," 5,225 ", 68 , 20 ,Adult Alternative
Whatever U Want,0," 5,226 ", -   , -   ,Rap
Let Me In,0," 5,227 ", 34 , 11 ,Rap
I Want To Live,0," 5,228 ", 45 , 14 ,Country
Break Down Here,0," 5,229 ", 81 , 12 ,Pop
Freek,0," 5,230 ", 7 , 39 ,Electronic
Save A Horse,0," 5,232 ", 56 , 9 ,Country
Ocean Avenue,0," 5,233 ", 37 , 20 ,Pop-Punk
How Come,0," 5,234 ", 27 , 12 ,Rap
Who Is She 2 U,0," 5,235 ", 85 , 4 ,Pop
Whiskey Girl,0," 5,236 ", 31 , 20 ,Country
I Believe,0," 5,237 ", 1 , 10 ,R&;B
How Did You Know?,0," 5,238 ", 97 , 2 ,Pop
Culo,0," 5,239 ", 32 , 20 ,Reggaeton
Outrageous,0," 5,240 ", 79 , 4 ,R&;B
Scandalous,0," 5,241 ", 35 , 16 ,Rock
If You Ever Stop Loving Me,0," 5,242 ", 30 , 20 ,Pop
How Far,0," 5,243 ", 68 , 8 ,Country
Got It Twisted,0," 5,244 ", 64 , 20 ,East Coast
Just For You,0," 5,245 ", 92 , 17 ,Rock
Storm,0," 5,246 ", -   , -   ,Hip-Hop
Hey Good Lookin',0," 5,247 ", 63 , 11 ,Country
Naughty Girl,0," 5,248 ", 3 , 22 ,R&;B
Happy People,0," 5,250 ", 19 , 20 ,Soul
Let's Be Us Again,0," 5,251 ", 38 , 20 ,Country
Jook Gal,0," 5,252 ", 57 , 18 ,Pop
Lying From You,0," 5,253 ", 58 , 18 ,Alternative Rock
My Immortal,0," 5,254 ", 7 , 32 ,Acoustic
Here Without You,0," 5,255 ", 5 , 51 ,Post-Grunge
Don't Tell Me,0," 5,256 ", 22 , 20 ,Pop
Cold Hard Bitch,0," 5,257 ", 55 , 20 ,Alternative Rock
Talk About Our Love,0," 5,258 ", 36 , 14 ,R&;B
Overnight Celebrity,0," 5,259 ", 6 , 20 ,Gaming
Tipsy,0," 5,260 ", 2 , 30 ,Hip-Hop
8th World Wonder,0," 5,261 ", 49 , 20 ,Pop
Dude,0," 5,262 ", 26 , 26 ,Jamaica
Letters From Home,0," 5,263 ", 24 , 20 ,Country
Ch,0," 5,264 ", 68 , 12 ,Rap
Diamond In The Back,0," 5,265 ", 94 , 3 ,Rap
All Falls Down,0," 5,266 ", 7 , 20 ,Acoustic
Game Over,0," 5,267 ", 15 , 20 ,Rap
Don't Take Your Love Away,0," 5,268 ", 37 , 20 ,R&;B
Get No Better,0," 5,270 ", 79 , 12 ,Pop
Dirt Off Your Shoulder,0," 5,271 ", 5 , 26 ,Hip-Hop
Take My Breath Away,0," 5,272 ", 20 , 16 ,Cover
Tear It Up,0," 5,273 ", 76 , 13 ,Rap
Paint Me A Birmingham,0," 5,274 ", 42 , 16 ,Country
My Band,0," 5,275 ", 6 , 18 ,Memes
whoknows,0," 5,276 ", 65 , 13 ,Soul
100 Years,0," 5,277 ", 28 , 22 ,Pop
That's What She Gets For Loving Me,0," 5,278 ", 53 , 14 ,Country
Love's Divine,0," 5,279 ", 79 , 20 ,Rock
You Raise Me Up,0," 5,280 ", 73 , 17 ,Adult Contemporary
When The Sun Goes Down,0," 5,281 ", 26 , 20 ,Country
Mayberry,0," 5,282 ", 21 , 20 ,Country
Where Are We Runnin'?,0," 5,283 ", 69 , 6 ,Rock
Passenger Seat,0," 5,284 ", 66 , 8 ,Pop
You're The Only One,0," 5,285 ", 86 , 4 ,Pop
I Can't Sleep,0," 5,286 ", 61 , 7 ,Country
The First Cut Is The Deepest,0," 5,287 ", 14 , 36 ,Pop-Rock
White Flag,0," 5,288 ", 18 , 41 ,Trip-Hop
Coo,0," 5,290 ", -   , -   ,Rap
Desperately,0," 5,291 ", 44 , 14 ,Country
This Way,0," 5,292 ", 78 , 5 ,Rap
The Way You Move,0," 5,293 ", 1 , 39 ,Atlanta
I'm Still In Love With You,0," 5,294 ", 14 , 25 ,Jamaica
Sweet Southern Comfort,0," 5,295 ", 40 , 20 ,Country
Last One Standing,0," 5,296 ", 89 , 8 ,Country
Hole In The Head,0," 5,297 ", 96 , 2 ,Pop
It Only Hurts When I'm Breathing,0," 5,298 ", 71 , 7 ,Country
The Outsider,0," 5,299 ", 79 , 5 ,Alternative Metal
Ride Wit U,0," 5,300 ", 56 , 14 ,Pop
Figured You Out,0," 5,301 ", 65 , 19 ,Alternative Rock
Wanna Get To Know You,0," 5,302 ", 15 , 18 ,Rap
Are You Gonna Be My Girl,0," 5,303 ", 29 , 25 ,Alternative Rock
I Want You,0," 5,304 ", 57 , 10 ,R&;B
Last Train Home,0," 5,305 ", 75 , 6 ,Rock
Splash Waterfalls,0," 5,306 ", 6 , 21 ,Rap
Rubber Band Man,0," 5,308 ", 30 , 20 ,Rap
Solitaire,0," 5,309 ", 4 , 8 ,Pop
Come Clean,0," 5,310 ", 35 , 13 ,Pop-Rock
Sorry 2004,0," 5,311 ", 9 , 20 ,Soul
Simple Life,0," 5,312 ", 73 , 5 ,Pop
Megalomaniac,0," 5,313 ", 55 , 20 ,Alternative Metal
Good Little Girls,0," 5,314 ", 63 , 7 ,Country
I Can't Wait,0," 5,315 ", 40 , 13 ,Dirty South
Behind Blue Eyes,0," 5,316 ", 71 , 11 ,Cover
Salt Shaker,0," 5,317 ", 9 , 26 ,Hardcore Hip-Hop
It's My Life,0," 5,318 ", 10 , 28 ,Cover
American Soldier,0," 5,319 ", 28 , 20 ,Country
Songs About Rain,0," 5,320 ", 71 , 10 ,Country
When I Look To The Sky,0," 5,321 ", 74 , 14 ,Rock
Falls On Me,0," 5,322 ", 52 , 14 ,Pop
What's It Like,0," 5,323 ", 85 , 2 ,R&;B
Bounce,0," 5,324 ", 54 , 10 ,Pop
Slow Jamz,0," 5,325 ", 1 , 22 ,Producer
Little Moments,0," 5,326 ", 35 , 20 ,Country
No Better Love,0," 5,327 ", 36 , 14 ,Rap
I Am The Highway,0," 5,328 ", 66 , 17 ,Post-Grunge
In My Daughter's Eyes,0," 5,329 ", 39 , 16 ,Country
F.U.R.B.,0," 5,330 ", 63 , 7 ,Rap
I Love You This Much,0," 5,331 ", 53 , 15 ,Pop
"Me, Myself And I",0," 5,332 ", 4 , 24 ,R&;B
Remember When,0," 5,333 ", 29 , 20 ,Country
Watch The Wind Blow By,0," 5,334 ", 32 , 20 ,Country
Wild West Show,0," 5,335 ", 85 , 9 ,Country
In My Life,0," 5,336 ", 46 , 17 ,Rap
I Wanna Do It All,0," 5,337 ", 38 , 20 ,Country
Hot Mama,0," 5,338 ", 51 , 14 ,Country
Baby I Love U,0," 5,339 ", 72 , 4 ,R&;B
Through The Wire,0," 5,340 ", 15 , 21 ,Rap
Neva Eva,0," 5,341 ", 77 , 18 ,Crunk
I'm Really Hot,0," 5,342 ", 59 , 10 ,Rap
Gal Yuh Ah Lead,0," 5,343 ", 85 , 9 ,Pop
Long Black Train,0," 5,344 ", 72 , 18 ,Country
Love Me Right,0," 5,345 ", 95 , 4 ,Pop
Suga Suga,0," 5,346 ", 7 , 33 ,R&;B
Everything About You,0," 5,347 ", 55 , 19 ,Alternative Metal
Gangsta Nation,0," 5,348 ", 33 , 18 ,West Coast
Gigolo,0," 5,349 ", 24 , 20 ,Rap
Read Your Mind,0," 5,350 ", 13 , 26 ,R&;B
Unwell,0," 5,352 ", 5 , 54 ,Adult Contemporary
Just A Little While,0," 5,353 ", 45 , 6 ,Funk Rock
Pull Up,0," 5,354 ", 98 , 2 ,Jamaica
Still Frame,0," 5,355 ", 69 , 20 ,Pop
Hit That,0," 5,356 ", 64 , 15 ,Rock
There Goes My Life,0," 5,357 ", 29 , 20 ,Country
You Can't Take The Honky Tonk Out Of The Girl,0," 5,358 ", 39 , 20 ,Country
Hell Yeah,0," 5,359 ", 45 , 20 ,Pop
Stand Up,0," 5,360 ", 1 , 28 ,Rap
Fallen,0," 5,361 ", 41 , 21 ,Pop
Damn!,0," 5,362 ", 4 , 32 ,Dirty South
The Voice Within,0," 5,363 ", 33 , 16 ,Ballad
Change Clothes,0," 5,364 ", 10 , 18 ,Hip-Hop
Drinkin' Bone,0," 5,365 ", 60 , 16 ,Country
Walked Outta Heaven,0," 5,366 ", 6 , 27 ,Soul
One Day At A Time,0," 5,367 ", 80 , 5 ,Remix
Away From Me,0," 5,368 ", 72 , 16 ,Grunge
Slow,0," 5,369 ", 91 , 3 ,Synth-Pop
Milkshake,0," 5,370 ", 3 , 22 ,Screen
Baby Boy,0," 5,371 ", 1 , 29 ,Dancehall
Runnin,0," 5,372 ", 19 , 20 ,Remix
Stunt 101,0," 5,373 ", 13 , 18 ,Rap
Forthenight,0," 5,374 ", 53 , 17 ,Soul
She's Not Just A Pretty Face,0," 5,375 ", 56 , 13 ,Country
Step In The Name Of Love,0," 5,376 ", 9 , 27 ,Remix
Wat Da Hook Gon Be,0," 5,377 ", 17 , 20 ,Rap
Gangsta Girl,0," 5,378 ", 85 , 9 ,Rap
Bright Lights,0," 5,379 ", 23 , 21 ,Rock
Headstrong,0," 5,380 ", 16 , 43 ,Nu-Metal
I Wish,0," 5,381 ", 75 , 4 ,Pop
My Baby,0," 5,382 ", 42 , 11 ,R&;B
Love You More,0," 5,383 ", 78 , 16 ,R&;B
Not Today,0," 5,384 ", 41 , 10 ,Pop
Holidae In,0," 5,385 ", 3 , 21 ,Rap
So Far Away,0," 5,386 ", 24 , 28 ,Hard Rock
Honesty,0," 5,387 ", 57 , 19 ,Country
Badaboom,0," 5,388 ", 59 , 8 ,R&;B
Pop That Booty,0," 5,389 ", 76 , 9 ,R&;B
Cowboys Like Us,0," 5,390 ", 38 , 19 ,Country
Chicks Dig It,0," 5,391 ", 53 , 15 ,Country
Why Can't I?,0," 5,392 ", 32 , 20 ,Pop-Rock
More To Life,0," 5,393 ", 30 , 20 ,Pop
Stacy's Mom,0," 5,394 ", 21 , 17 ,Alternative Rock
Weak And Powerless,0," 5,395 ", 61 , 18 ,Alternative Rock
Another Postcard,0," 5,396 ", 82 , 15 ,Rock
Pass That Dutch,0," 5,397 ", 27 , 15 ,Rap
Harder To Breathe,0," 5,399 ", 18 , 22 ,Indie Rock
I Love This Bar,0," 5,400 ", 26 , 20 ,Country
Clubbin,0," 5,401 ", 39 , 20 ,R&;B
Walking In Memphis,0," 5,402 ", 61 , 11 ,Country
Rain On Me,0," 5,403 ", 7 , 20 ,Pop
Wave On Wave,0," 5,404 ", 39 , 20 ,Country
Bigger Than My Body,0," 5,405 ", 33 , 20 ,Adult Alternative
I Melt,0," 5,406 ", 34 , 20 ,Country
Tough Little Boys,0," 5,407 ", 32 , 20 ,Pop
One More Chance,0," 5,408 ", 83 , 5 ,R&;B
Right Thurr,0," 5,409 ", 2 , 33 ,Rap
Who Wouldn't Wanna Be Me,0," 5,410 ", 30 , 20 ,Country
Show Me How To Live,0," 5,411 ", 67 , 20 ,Post-Grunge
Clap Back,0," 5,412 ", 44 , 10 ,Beef
So Yesterday,0," 5,413 ", 42 , 20 ,Pop-Rock
"Can't Stop, Won't Stop",0," 5,414 ", 14 , 20 ,Rap
Take Me Away,0," 5,415 ", 87 , 6 ,Rock
This One's For The Girls,0," 5,416 ", 39 , 20 ,Country
Can't Hold Us Down,0," 5,417 ", 12 , 20 ,Pop
Party To Damascus,0," 5,418 ", 65 , 9 ,Rap
I Need You Now,0," 5,419 ", 96 , 3 ,Gospel
Calling All Angels,0," 5,420 ", 19 , 29 ,Pop-Rock
Faint,0," 5,421 ", 48 , 20 ,Rap Rock
Waiting For You,0," 5,422 ", 89 , 8 ,Pop
Find A Way,0," 5,423 ", 93 , 12 ,Pop
Where Is The Love?,0," 5,424 ", 8 , 25 ,R&;B
Thoia Thoing,0," 5,425 ", 13 , 20 ,R&;B
Naggin,0," 5,426 ", 87 , 10 ,Hardcore Hip-Hop
Walk A Little Straighter,0," 5,427 ", 67 , 15 ,Country
Officially Missing You,0," 5,428 ", 83 , 18 ,R&;B
Drift Away,0," 5,429 ", 9 , 35 ,Producer
Real Good Man,0," 5,431 ", 27 , 20 ,Country
If I Can't,0," 5,432 ", 76 , 8 ,East Coast
The Boys Of Summer,0," 5,433 ", 20 , 18 ,Alternative Rock
Ooh!,0," 5,434 ", 29 , 12 ,Soul
P.I.M.P.,0," 5,435 ", 3 , 25 ,Gangsta Rap
Frontin',0," 5,436 ", 5 , 23 ,Hip-Hop
"Pon De River, Pon De Bank",0," 5,437 ", 86 , 13 ,Jamaica
Got Some Teeth,0," 5,438 ", 54 , 11 ,Rap
The Remedy,0," 5,439 ", 15 , 28 ,Rock
My Love Is Like... Wo,0," 5,441 ", 13 , 20 ,Pop
"No Shoes, No Shirt, No Problems",0," 5,443 ", 28 , 20 ,Country
24's,0," 5,444 ", 78 , 15 ,Rap
What Was I Thinkin',0," 5,445 ", 22 , 20 ,Country
Help Pour Out The Rain,0," 5,446 ", 29 , 20 ,Country
Hole In The World,0," 5,447 ", 69 , 14 ,Rock
A Few Questions,0," 5,448 ", 55 , 13 ,Pop
Forever And For Always,0," 5,449 ", 20 , 23 ,Country
In Those Jeans,0," 5,450 ", 8 , 20 ,R&;B
Let's Get Down,0," 5,451 ", 14 , 17 ,Hip-Hop
Celebrity,0," 5,452 ", 31 , 20 ,Country
Signs Of Love Makin',0," 5,453 ", 57 , 14 ,R&;B
Lovin' All Night,0," 5,454 ", 81 , 10 ,Pop
Like Glue,0," 5,456 ", 13 , 20 ,Pop
Never Leave You,0," 5,457 ", 3 , 20 ,Rap
Are You Happy Now?,0," 5,458 ", 16 , 20 ,Pop
Red Dirt Road,0," 5,459 ", 25 , 20 ,Country
Where The Hood At?,0," 5,460 ", 68 , 8 ,Rap
Did My Time,0," 5,461 ", 38 , 10 ,Alternative Metal
This Is The Night,0," 5,462 ", 1 , 16 ,Pop
Then They Do,0," 5,463 ", 52 , 13 ,Country
Rest In Pieces,0," 5,464 ", 93 , 3 ,Rock
Magic Stick,0," 5,465 ", 2 , 24 ,Rap
Sympathy For The Devil,0," 5,466 ", -   , -   ,Art Rock
Rubberneckin',0," 5,467 ", 94 , 2 ,Country
Rock Wit U,0," 5,468 ", 2 , 21 ,Soul
Get Busy,0," 5,469 ", 1 , 32 ,Pop
Simply Being Loved,0," 5,470 ", 98 , 3 ,Electro-Pop
So Gone,0," 5,471 ", 10 , 22 ,R&;B
Intuition,0," 5,472 ", 20 , 20 ,Pop
Send The Pain Below,0," 5,473 ", 65 , 20 ,Alternative Metal
Just Because,0," 5,474 ", 72 , 9 ,Alternative Rock
Roun' The Globe,0," 5,475 ", 96 , 4 ,Rap
My Front Porch Looking In,0," 5,476 ", 23 , 22 ,Country
I Wish I Wasn't,0," 5,477 ", 55 , 20 ,Soul
She Only Smokes When She Drinks,0," 5,478 ", 72 , 5 ,Country
Stay Gone,0," 5,479 ", 32 , 20 ,Pop
Flying Without Wings,0," 5,480 ", 2 , 10 ,Pop
Feelin' Freaky,0," 5,481 ", 92 , 3 ,Rap
Almost Home,0," 5,482 ", 59 , 14 ,Country
"Swing, Swing",0," 5,483 ", 60 , 11 ,Pop-Rock
Stupid Girl,0," 5,484 ", 87 , 20 ,Rock
21 Questions,0," 5,485 ", 1 , 23 ,Rap
Ignition,0," 5,486 ", 2 , 42 ,Soul
Don't Wanna Try,0," 5,487 ", 19 , 20 ,Pop
Fighter,0," 5,488 ", 20 , 20 ,Pop-Rock
What The World Needs,0," 5,489 ", 70 , 8 ,Pop
Pump It Up,0," 5,490 ", 38 , 19 ,West Coast
I Know What You Want,0," 5,491 ", 3 , 24 ,R&;B
Rock Your Body,0," 5,492 ", 5 , 22 ,R&;B
If You're Not The One,0," 5,493 ", 15 , 20 ,Pop
Never Scared,0," 5,494 ", 26 , 20 ,Rap
Love You Out Loud,0," 5,495 ", 30 , 20 ,Country
Three Wooden Crosses,0," 5,496 ", 31 , 20 ,Gospel
Still Ballin,0," 5,497 ", 69 , 20 ,Remix
I'm Glad,0," 5,498 ", 32 , 16 ,R&;B
Snake,0," 5,499 ", 16 , 17 ,Pop
Act A Fool,0," 5,500 ", 32 , 11 ,Rap
Can't Let You Go,0," 5,501 ", 4 , 23 ,Rap
No Letting Go,0," 5,502 ", 11 , 31 ,Jamaica
Big Yellow Taxi,0," 5,503 ", 42 , 20 ,Rock
Say Yes,0," 5,504 ", 24 , 20 ,Rap
The Love Song,0," 5,505 ", 59 , 12 ,Pop
What A Beautiful Day,0," 5,506 ", 41 , 20 ,Country
In Da Club,0," 5,507 ", 1 , 30 ,Hip-Hop
Put That Woman First,0," 5,508 ", 20 , 20 ,R&;B
Speed,0," 5,509 ", 47 , 20 ,Country
The Truth About Men,0," 5,510 ", 77 , 5 ,Country
Tell Me Something Bad About Tulsa,0," 5,511 ", 69 , 7 ,Country
Sing For The Moment,0," 5,512 ", 14 , 18 ,Rock
Somewhere I Belong,0," 5,513 ", 32 , 20 ,Rap Rock
Feel Good Time,0," 5,514 ", 60 , 5 ,Electronic
Have You Forgotten?,0," 5,515 ", 22 , 20 ,Country
Stuck,0," 5,516 ", 52 , 11 ,Pop
Picture,0," 5,517 ", 4 , 34 ,Adult Contemporary
Times Like These,0," 5,518 ", 65 , 20 ,Adult Alternative
Try It On My Own,0," 5,519 ", 84 , 12 ,Pop
Raining On Sunday,0," 5,520 ", 38 , 19 ,Country
Concrete Angel,0," 5,521 ", 47 , 19 ,Country
Tal Vez,0," 5,522 ", 74 , 8 ,En Espa\xc3\xb1ol
Like A Stone,0," 5,523 ", 31 , 20 ,Post-Grunge
She's My Kind Of Rain,0," 5,524 ", 27 , 20 ,Country
I Can,0," 5,525 ", 12 , 20 ,Rap
Big Star,0," 5,526 ", 28 , 20 ,Country
Beware Of The Boys,0," 5,528 ", 33 , 12 ,Remix
Price To Play,0," 5,529 ", 66 , 10 ,Hard Rock
How You Gonna Act Like That,0," 5,530 ", 7 , 25 ,R&;B
Miss You,0," 5,531 ", 3 , 30 ,R&;B
The Jump Off,0," 5,532 ", 17 , 20 ,Gangsta Rap
That'd Be Alright,0," 5,533 ", 29 , 20 ,Country
How You Want That,0," 5,534 ", 88 , 6 ,Rap
Emotional Rollercoaster,0," 5,535 ", 39 , 19 ,R&;B
Excuse Me Miss,0," 5,536 ", 8 , 19 ,Rap
Can't Stop,0," 5,537 ", 57 , 20 ,Rock
Flipside,0," 5,538 ", 95 , 3 ,Hip-Hop
Can't Stop Loving You,0," 5,540 ", 76 , 20 ,Rock
Make Me A Song,0," 5,541 ", 99 , 2 ,Rap
I'm With You,0," 5,542 ", 4 , 27 ,Pop
Brokenheartsville,0," 5,543 ", 27 , 20 ,Country
Straight Out Of Line,0," 5,544 ", 73 , 8 ,Heavy Metal
Peacekeeper,0," 5,545 ", 80 , 11 ,Rock
Losing Grip,0," 5,546 ", 64 , 6 ,Rock
Get By,0," 5,547 ", 77 , 10 ,Conscious Hip-Hop
Step Daddy,0," 5,548 ", 90 , 3 ,Rap
American Life,0," 5,549 ", 37 , 8 ,Pop
Pimp Juice,0," 5,550 ", 58 , 7 ,Rap
Girl All The Bad Guys Want,0," 5,551 ", 64 , 9 ,Pop-Punk
X Gon' Give It To Ya,0," 5,552 ", 60 , 16 ,Hardcore Hip-Hop
All I Have,0," 5,554 ", 1 , 21 ,Rap
Man To Man,0," 5,555 ", 25 , 20 ,Country
All The Things She Said,0," 5,556 ", 20 , 20 ,\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f (Russia)
Mesmerize,0," 5,557 ", 2 , 20 ,R&;B
Gossip Folks,0," 5,558 ", 8 , 20 ,Hip-Hop
No One Knows,0," 5,559 ", 51 , 20 ,Stoner Rock
Fine Again,0," 5,560 ", 61 , 20 ,Rock
No One's Gonna Change You,0," 5,561 ", 96 , 5 ,Pop
I Drove All Night,0," 5,562 ", 45 , 13 ,Rock
Soldier's Heart,0," 5,564 ", 80 , 3 ,Pop
I'd Do Anything,0," 5,565 ", 51 , 12 ,Pop-Punk
Running,0," 5,566 ", 62 , 6 ,Pop
Sick Of Being Lonely,0," 5,568 ", 18 , 20 ,Rap
"Bump, Bump, Bump",0," 5,569 ", 1 , 22 ,Boy Band
Blowin' Me Up,0," 5,570 ", 35 , 17 ,Rap
Always,0," 5,571 ", 51 , 20 ,Rock
Don't Dream It's Over,0," 5,572 ", 78 , 6 ,Adult Contemporary
Thugz Mansion,0," 5,573 ", 19 , 20 ,Remix
The Baby,0," 5,574 ", 28 , 20 ,Country
That Girl,0," 5,575 ", 63 , 7 ,Pop
Laundromat,0," 5,576 ", 58 , 9 ,Rap
You Can't Hide Beautiful,0," 5,577 ", 38 , 17 ,Country
Choppa Style,0," 5,578 ", 94 , 6 ,Rap
Wanksta,0," 5,579 ", 13 , 20 ,East Coast
Don't Mess With My Man,0," 5,580 ", 8 , 36 ,R&;B
The Red,0," 5,581 ", 56 , 20 ,Alternative Metal
Rock You Baby,0," 5,582 ", 66 , 5 ,Country
B R Right,0," 5,583 ", 83 , 14 ,Rap
A.D.I.D.A.S.,0," 5,584 ", 60 , 9 ,Rap
19 Somethin',0," 5,585 ", 23 , 20 ,Country
All I Need,0," 5,586 ", 86 , 8 ,Rap
Travelin' Soldier,0," 5,587 ", 25 , 10 ,Country
Up!,0," 5,588 ", 63 , 10 ,Pop
Can't Nobody,0," 5,589 ", 97 , 5 ,R&;B
'03 Bonnie & Clyde,0," 5,590 ", 4 , 23 ,West Coast
Fall Into Me,0," 5,591 ", 34 , 20 ,Country
The Wreckoning,0," 5,592 ", 88 , 2 ,Pop
Family Portrait,0," 5,593 ", 20 , 20 ,R&;B
Do That...,0," 5,594 ", 33 , 20 ,Rap
I Should Be...,0," 5,595 ", 25 , 17 ,Pop
Air Force Ones,0," 5,596 ", 3 , 20 ,Crunk
I Just Wanna Be Mad,0," 5,598 ", 27 , 20 ,Pop
Make It Clap,0," 5,599 ", 46 , 20 ,Rap
Beautiful Goodbye,0," 5,600 ", 76 , 10 ,Pop
Chrome,0," 5,601 ", 74 , 4 ,Country
One Of Those Days,0," 5,602 ", 72 , 19 ,Rock
"Ma, I Don't Love Her",0," 5,603 ", 86 , 6 ,Gangsta Rap
I Wish You'd Stay,0," 5,604 ", 57 , 10 ,Country
She Hates Me,0," 5,605 ", 13 , 23 ,Post-Grunge
In A Little While,0," 5,607 ", 59 , 20 ,Pop
Made You Look,0," 5,609 ", 32 , 13 ,Producer
Satisfaction,0," 5,610 ", 27 , 16 ,Rap
Bother,0," 5,611 ", 56 , 20 ,Acoustic
Break You Off,0," 5,612 ", -   , -   ,Neo Soul
Talkin' To Me,0," 5,613 ", 51 , 15 ,R&;B
Through The Rain,0," 5,615 ", 81 , 9 ,R&;B
A Lot Of Things Different,0," 5,616 ", 55 , 15 ,Country
What We Do,0," 5,617 ", 97 , 2 ,Gangsta Rap
I'd Rather,0," 5,618 ", 83 , 20 ,R&;B
dontchange,0," 5,619 ", 17 , 26 ,Soul
Disease,0," 5,620 ", 29 , 20 ,Rock
You Know You're Right,0," 5,621 ", 45 , 20 ,Grunge
I'm Gonna Getcha Good!,0," 5,622 ", 34 , 20 ,Pop
Cochise,0," 5,623 ", 69 , 15 ,Hard Rock
He Is,0," 5,624 ", 90 , 13 ,Rap
Red Rag Top,0," 5,626 ", 40 , 20 ,Rock
Unusually Unusual,0," 5,627 ", 66 , 5 ,Country
Take You Home,0," 5,628 ", 85 , 5 ,Rap
She'll Leave You With A Smile,0," 5,629 ", 23 , 20 ,Country
These Days,0," 5,630 ", 23 , 20 ,Country
Who's Your Daddy?,0," 5,631 ", 22 , 20 ,Country
Spin,0," 5,632 ", 71 , 14 ,Rock
Thug Holiday,0," 5,633 ", 87 , 9 ,Rap
Prayer,0," 5,634 ", 58 , 20 ,Alternative Metal
Stole,0," 5,635 ", 27 , 20 ,R&;B
Rock The Party,0," 5,636 ", 82 , 18 ,Rap
The Zephyr Song,0," 5,637 ", 49 , 14 ,Rock
My Town,0," 5,638 ", 40 , 20 ,Country
Hit The Freeway,0," 5,639 ", 86 , 14 ,R&;B
When The Last Time,0," 5,640 ", 19 , 21 ,Rap
A Moment Like This,0," 5,641 ", 1 , 20 ,American Idol
Dirrty,0," 5,642 ", 48 , 20 ,R&;B
React,0," 5,644 ", 36 , 16 ,Rap
One Last Breath,0," 5,645 ", 6 , 34 ,Rock
Gimme The Light,0," 5,646 ", 7 , 39 ,Jamaica
Dilemma,0," 5,647 ", 1 , 29 ,Neo Soul
Sk8er Boi,0," 5,648 ", 10 , 20 ,Pop-Rock
Thug Lovin',0," 5,649 ", 42 , 10 ,Rap
Girl Talk,0," 5,650 ", 28 , 14 ,Pop
Luv U Better,0," 5,651 ", 4 , 22 ,R&;B
Hey Ma,0," 5,652 ", 3 , 21 ,Hip-Hop
Like I Love You,0," 5,653 ", 11 , 20 ,Rap
Goodbye To You,0," 5,654 ", 21 , 20 ,Pop-Rock
From Tha Chuuuch To Da Palace,0," 5,655 ", 77 , 10 ,Rap
Single For The Rest Of My Life,0," 5,656 ", 71 , 12 ,R&;B
I Care 4 U,0," 5,657 ", 16 , 20 ,R&;B
Somewhere Out There,0," 5,658 ", 44 , 20 ,Pop
These Are The Days,0," 5,659 ", 64 , 5 ,Pop-Rock
Every River,0," 5,660 ", 75 , 5 ,Country
Complicated,0," 5,661 ", 2 , 31 ,Canada
Somebody Like You,0," 5,662 ", 23 , 20 ,Country
Aerials,0," 5,663 ", 55 , 20 ,Nu-Metal
Work In Progress,0," 5,664 ", 35 , 19 ,Country
Po' Folks,0," 5,665 ", 21 , 23 ,Rap
Beautiful Mess,0," 5,666 ", 28 , 20 ,Country
The Streets,0," 5,667 ", 81 , 13 ,West Coast
Ordinary Day,0," 5,668 ", 30 , 18 ,Rock
Where Would You Be,0," 5,669 ", 45 , 16 ,Pop
Gotta Get Thru This,0," 5,670 ", 10 , 21 ,Pop
Stingy,0," 5,671 ", 33 , 20 ,R&;B
Cleanin' Out My Closet,0," 5,672 ", 4 , 20 ,Horrorcore
Trade It All,0," 5,673 ", 20 , 18 ,Rap
Gangsta Lovin',0," 5,674 ", 2 , 22 ,Rap
A Thousand Miles,0," 5,675 ", 5 , 41 ,Singer-Songwriter
Starry Eyed Surprise,0," 5,676 ", 41 , 8 ,Pop
Forgive,0," 5,677 ", 71 , 5 ,Pop
I Am Mine,0," 5,678 ", 43 , 8 ,Rock
Crush Tonight,0," 5,679 ", 77 , 7 ,Rap
American Child,0," 5,680 ", 48 , 15 ,Country
